00:52:00:10  >> WELCOME BACK.
01:22:39:22  SO THIS IS A REALLY IMPORTANT
01:22:41:28  PART OF WEBSOCKETS.
01:22:43:01  IT HAS TO DO WITH THIS WHOLE
01:22:45:19  BACKWARDS-COMPATIBILITY THING
01:22:48:22  THAT I SAID EARLIER.
01:22:51:13  BOOTSTRAPPED OVER HTTP.
01:22:53:16  SO WHEN YOU HAVE A WEBSOCKETS
01:22:54:28  APPLICATION, YOU SEND AN HTTP
01:22:59:01  REQUEST TO START IT, BECAUSE
01:23:00:22  EVERYTHING UNDERSTANDS WHAT HTTP
01:23:02:19  IS AND NOT EVERYTHING
01:23:03:28  UNDERSTANDS WHAT WEBSOCKETS ARE.
01:23:05:25  SO... YEAH, HERE WE GO.
01:23:13:07  SO I WANT TO APPLY A FILTER ON
01:23:15:01  THIS SO WE GET RID OF ALL THE
01:23:18:01  TCP BOOTSTRAPPING PACKETS.
01:23:19:28  YEAH.
01:23:21:19  OOPS.
01:23:24:07  HTTP OR WEBSOCKETS.
01:23:27:07  THERE WE GO.
01:23:29:07  OKAY, COOL.
01:23:30:22  SO THIS IS THE INTERESTING STUFF
01:23:31:22  HERE.
01:23:32:01  SO YOU SEE IT STARTS WITH A GET,
01:23:35:01  SLASH, BOOTSTRAPPING OVER HTTP.
01:23:38:13  THEN YOU CAN SEE THE NEXT PART
01:23:39:25  IS A SPECIAL HTTP STATUS CODE
01:23:43:01  CALLED THE 101 SWITCHING
01:23:45:01  PROTOCOLS.
01:23:45:22  SO 101 SWITCHING PROTOCOLS IS
01:23:48:28  HOW THE SERVER TELLS THE CLIENT
01:23:50:16  THAT WE'RE GONNA SWITCH OVER TO
01:23:52:16  USING WEBSOCKETS INSTEAD OF
01:23:54:19  BASIC HTTP.
01:23:55:28  SO AFTER THAT, WE DIVE INTO THE
01:23:59:04  WEBSOCKETS FRAMES.
01:24:00:13  SO WEBSOCKETS WERE DESIGNED TO
01:24:03:07  BE SUPER MINIMAL, IN THAT THE
01:24:05:16  OVERHEAD PER FRAME IS REALLY
01:24:07:13  SMALL.
01:24:07:25  SO YOU CAN ACTUALLY USE
01:24:11:25  WIRESHARK TO TAKE A LOOK AT THE
01:24:14:22  ACTUAL DATA THAT'S BEING SENT,
01:24:16:13  AND IF YOU SEE HERE, IT'S WEB
01:24:19:28  SOCKETS, AND IT WILL SHOW YOU
01:24:22:28  THE ACTUAL DATA THAT'S IN THIS
01:24:24:16  PACKET.
01:24:24:28  SO THE FIRST THINGS UP AT THE
01:24:26:22  TOP ARE THE PADDING.
01:24:28:07  THIS IS ONE BIT CALLED FIN,
01:24:31:10  WHICH DESIGNATES WHETHER OR NOT
01:24:33:04  THIS IS LIKE THE LAST PACKET.
01:24:34:13  SO IF YOU'RE SENDING A BUNCH OF
01:24:36:16  DATA, YOU'RE GONNA HAVE TO HAVE
01:24:37:25  MULTIPLE FRAMES.
01:24:39:10  SO THIS HAPPENS TO BE A SMALL
01:24:40:28  PACKET, SO IT SAYS... YES, ONE,
01:24:44:01  THIS IS THE END.
01:24:45:10  THEN THERE'S A FEW RESERVED
01:24:48:04  BYTES.
01:24:50:16  THEN THERE'S THIS THING CALLED A
01:24:52:19  MASK.
01:24:53:22  AND THE MASK IS ALSO PART OF WHY
01:24:56:16  WEBSOCKETS ARE COMPATIBLE WITH
01:24:59:04  EXISTING INTERNET
01:25:00:16  INFRASTRUCTURE.
01:25:01:10  SO THE MASK AND THE MASKING KEY
01:25:04:13  ARE USED BY CLIENTS SENDING DATA
01:25:07:01  TO THE SERVER TO OBFUSCATE THE
01:25:10:07  PAYLOAD WHICH MAKES IT LESS
01:25:12:19  LIKELY THAT VARIOUS SERVERS IN
01:25:14:19  THE MIDDLE LIKE BETWEEN VARIOUS
01:25:16:25  DIFFERENT PACKET HOPS WILL MESS
01:25:18:13  WITH THE PAYLOAD AND JUST BREAK
01:25:20:19  EVERYTHING.
01:25:21:01  SO THEN WE ALSO HAVE A PAYLOAD
01:25:26:04  LENGTH SO WE KNOW HOW MANY
01:25:27:13  PACKETS TO EXPECT.
01:25:29:01  AND THEN WE ACTUALLY JUST HAVE
01:25:30:04  THE PACKET OR THE PAYLOAD.
01:25:31:16  AND YOU CAN SEE -- I DON'T KNOW
01:25:34:10  IF THIS IS DECODED.
01:25:35:19  OH, YEAH.
01:25:37:10  SO YOU HAVE THE PAYLOAD HERE,
01:25:38:13  AND THEN YOU HAVE THE PAYLOAD
01:25:40:01  WITH THE MASK APPLIED.
01:25:41:10  SO YOU CAN SEE IT WAS JUST
01:25:43:07  SENDING MY NAME, SPANG.
01:25:44:28  SO THAT'S THE BASICS OF HOW THE
01:25:49:22  PROTOCOL WORKS.
01:25:50:22  SO IT'S SUPER SIMPLE.
01:25:52:10  AND LET'S GO BACK TO THE SLIDES.
01:25:56:04  HERE'S A LITTLE DIAGRAM OF THIS
01:26:03:28  WEB SOCKET PROTOCOL
01:26:05:10  BOOTSTRAPPING PROCESS THAT WE
01:26:06:13  WERE TALKING ABOUT.
01:26:07:13  SO AGAIN, YOU START THE PROCESS
01:26:10:04  USING BASIC HTTP.
01:26:13:07  YOU ISSUE A GET REQUEST.
01:26:15:10  THEN THE SERVER -- WITH
01:26:18:10  CONNECTION UPGRADE.
01:26:20:04  THEN THE SERVER ALSO RESPONDS
01:26:23:10  WITH THIS SPECIAL CODE CALLED
01:26:25:04  HTTP 101 SWITCHING PROTOCOLS.
01:26:29:01  AND THEN THE CONVERSATION CAN
01:26:30:13  CONTINUE FROM THERE, SENDING
01:26:32:22  MESSAGES BACK AND FORTH.
01:26:34:10  EITHER THE CLIENT OR THE SERVER
01:26:36:01  CAN SEND A MESSAGE EITHER WAY AT
01:26:37:28  THAT POINT BECAUSE WE'RE USING
01:26:40:04  WEBSOCKETS AND NOT HTTP.
01:26:42:07  AND THAT CONNECTION WILL BE
01:26:43:07  CLOSED AS SOON AS EITHER THE
01:26:44:16  SERVER OR THE CLIENT CLOSES IT
01:26:46:07  BECAUSE IT'S BIDIRECTIONAL.
01:26:49:01  WE ALREADY TALKED ABOUT THIS,
01:26:54:25  SWITCHING PROTOCOLS.
01:26:55:28  THAT'S HOW IT STARTS UP.
01:26:58:01  OKAY, SO NOW I WANT TO SHOW YOU
01:26:59:22  GUYS AN EXAMPLE THAT'S A BIT
01:27:03:04  MORE REAL WORLD.
01:27:04:07  BACK IN THE DAY WHEN -- I THINK
01:27:05:19  IT WAS, LIKE, 2006 OR 2007 OR
01:27:08:01  SOMETHING LIKE THAT, WHEN
01:27:09:22  WEBSOCKETS WERE SUPER NEW,
01:27:12:01  MOZILLA CREATED THIS GAME CALLED
01:27:14:19  BROWSER QUEST IN ORDER TO
01:27:15:25  DEMONSTRATE HOW WEBSOCKETS WERE
01:27:17:28  INTERESTING AND USEFUL.
01:27:18:28  SO GAMES ARE A REALLY GREAT
01:27:21:13  APPLICATION FOR WEBSOCKETS
01:27:22:19  BECAUSE, YOU KNOW, IF YOUR
01:27:24:10  CHARACTER'S MOVING AROUND, YOU
01:27:25:28  MIGHT WANT TO SEND, LIKE, LITTLE
01:27:27:16  UPDATES ABOUT WHERE THE
01:27:29:10  CHARACTER'S MOVING TO OR IF
01:27:31:01  THERE'S, LIKE, A BATTLE GOING
01:27:32:10  ON, YOU WANT TO SEND THOSE
01:27:33:28  BATTLE COMMANDS AND UPDATE ALL
01:27:35:25  THE OTHER CHARACTERS THAT ARE
01:27:37:01  LOGGED INTO THE SAME SERVER.
01:27:38:22  AND IT'S IMPORTANT TO BE ABLE TO
01:27:40:10  SCALE THESE THINGS TO LARGE
01:27:41:19  SIZES.
01:27:42:10  SO THE AMOUNT OF DATA THAT
01:27:44:07  YOU'RE SENDING OVER THE WIRE CAN
01:27:46:04  BE REALLY IMPORTANT.
01:27:47:13  SO I -- THE BROWSER QUEST GAME
01:27:52:01  WAS A BIT ROTTED, SO I HAD TO
01:27:56:10  FORK IT TO MAKE THIS WORK, SO --
01:27:59:16  >> [ Inaudible ]
01:28:00:13  >> I DID, BUT THEY TOLD ME THAT
01:28:02:16  THEY'RE NOT MAINTAINING IT
01:28:04:13  ANYMORE AND THEY WOULDN'T TAKE
01:28:05:16  IT.
01:28:05:25  SO YOU'LL HAVE TO USE MY FORK IF
01:28:07:16  YOU WANT IT TO WORK.
01:28:08:22  >> [ Inaudible ]
01:28:11:22  [ Laughter ]
01:28:14:25  >> I'M SURE THAT WILL BE A MORE
01:28:17:19  COMPELLING CASE.
01:28:18:10  ALL RIGHT, COOL.
01:28:19:22  SO I HAVE A VM THAT I SET UP
01:28:22:07  THAT'S RUNNING THIS GAME.
01:28:23:13  UNFORTUNATELY, IT'S ALSO -- THE
01:28:25:16  GAME'S ALSO RAN IN NODE.JS.
01:28:28:19  BLAME MOZILLA.
01:28:30:10  SO HERE'S THE GAME SERVER
01:28:32:19  RUNNING IN MY VM.
01:28:34:22  AND THEN I'M GONNA CLOSE THESE
01:28:39:19  ONES THAT I'M NOT USING ANYMORE.
01:28:41:10  I DON'T NEED THAT ONE.
01:28:47:07  I DON'T NEED WIRESHARK ANYMORE
01:28:51:04  EITHER.
01:28:51:25  MAKE IT GO AWAY.
01:28:52:25  OKAY.
01:28:54:07  SO THIS IS THE GAME.
01:28:56:01  AND THEN ACTUALLY WE NEED A WEB
01:28:57:16  BROWSER, WHICH IS OUR CLIENT.
01:28:58:28  SO I THINK I HAVE IT RUNNING ON
01:29:02:19  THIS LOCAL IP ADDRESS HERE.
01:29:05:04  OH, NO.
01:29:06:22  DAMN IT!
01:29:07:19  OKAY.
01:29:09:01  I WANT IT TO START FROM THE
01:29:11:07  BEGINNING.
01:29:11:25  AND I ALSO WANT TO USE THE
01:29:13:22  CHROME DEV TOOLS.
01:29:16:13  ALL RIGHT, CHROME DEV TOOLS ARE
01:29:20:13  AWESOME, BY THE WAY.
01:29:21:22  OKAY.
01:29:23:01  SO WE CONNECT, AND THEN IT ASKS
01:29:25:22  FOR YOUR NAME.
01:29:26:22  SO I'M GONNA SAY SPANG.
01:29:28:25  AND THEN WE CAN JUST HIT PLAY.
01:29:30:25  SO THAT WAS IT.
01:29:32:07  IT WAS CONNECTING TO THE
01:29:33:13  WEBSOCKETS SERVER.
01:29:35:10  AND USUALLY WHEN YOU'RE RUNNING
01:29:37:16  A WEBSOCKETS APPLICATION, YOU
01:29:38:28  RUN IT BEHIND A PROXY LIKE
01:29:41:22  ENGINE X OR APACHE OR WHATEVER.
01:29:44:01  OKAY.
01:29:44:10  SO THEN WHAT I WANT TO LOOK IS
01:29:48:28  THE NETWORK TAB HERE.
01:29:50:07  AND THE INTERESTING PART OF THE
01:29:55:10  CHROME DEV TOOLS, SO THEY HAVE
01:29:57:28  NATIVE SUPPORT FOR DEBUGGING
01:30:00:22  WEBSOCKETS, AND ALL YOU HAVE TO
01:30:02:07  DO IS SCROLL THROUGH THIS REALLY
01:30:03:25  LONG LIST OF RESOURCES LOADING
01:30:05:07  AND FIND THE ONE THAT'S
01:30:06:16  WEBSOCKETS.
01:30:06:25  SO GIVE ME ONE SECOND.
01:30:09:01  WHERE IS THE FILTER, BY THE WAY?
01:30:12:10  ON THE LEFT?
01:30:14:07  WHICH BUTTON?
01:30:16:10  OH, THE SEARCH?
01:30:18:04  THE FUNNEL.
01:30:20:01  OKAY.
01:30:20:28  THANK YOU.
01:30:21:07  101.
01:30:23:10  NO.
01:30:25:16  OH, HERE WE GO.
01:30:29:22  NICE.
01:30:30:07  AWESOME.
01:30:31:25  THANKS FOR THAT TIP, GUYS.
01:30:33:19  OKAY.
01:30:34:25  SO THEN OVER HERE ON THE RIGHT,
01:30:40:01  YOU HAVE THE GENERAL INFORMATION
01:30:40:28  ABOUT THE WEBSOCKETS CONNECTION.
01:30:42:25  AND THEN YOU CAN LOOK AT THE
01:30:44:16  INDIVIDUAL -- BLAH -- THE
01:30:46:19  INDIVIDUAL FRAMES.
01:30:48:01  SO -- OH, THIS IS -- HERE WE GO.
01:30:52:16  THERE YOU GO.
01:30:53:10  SO YOU CAN SEE THAT WHENEVER I
01:30:54:25  CLICK SOMEWHERE, IT IS SENDING
01:30:57:22  SOME DATA BACK TO THE SERVER,
01:30:59:22  AND THEN IF WE GO BACK TO OUR
01:31:02:04  TERMINAL, I CAN ALSO SEE THAT
01:31:04:10  IT'S LIKE SPANG IS MOVING TO
01:31:06:19  39-209.
01:31:10:01  SO IT'S SENDING THESE LISTS OF
01:31:11:28  NUMBERS BACK AND FORTH.
01:31:13:07  SO WE'RE RUNNING OUT OF TIME, SO
01:31:16:22  I'M GONNA TRY TO WRAP THIS UP.
01:31:18:19  BUT THE REALLY INTERESTING THING
01:31:20:16  HERE IS THAT THIS COULD SCALE TO
01:31:23:22  A TON OF CONNECTIONS BECAUSE
01:31:25:13  WE'RE ONLY SENDING TINY LITTLE
01:31:27:07  BITS OF DATA.
01:31:28:13  OKAY.
01:31:29:22  ALL RIGHT.
01:31:30:25  I GOT TO WRAP THIS UP.
01:31:32:07  SO I'M GONNA GO THROUGH, LIKE,
01:31:37:16  TWO SLIDES MORE.
01:31:38:16  SO -- PERFORMANCE.
01:31:42:10  JUST TO REMIND YOU, WEBSOCKETS
01:31:44:07  HAVE OVERHEAD OF LIKE 2 TO 14
01:31:47:07  BYTES COMPARED TO HTTP WHICH IS
01:31:51:04  800 BYTES PER CONNECTION.
01:31:53:13  YOU PROBABLY ONLY NEED TO USE
01:31:55:01  WEBSOCKETS IF YOU NEED TO SCALE
01:31:56:04  YOUR APPLICATION TO A LOT OF
01:31:57:04  CONNECTIONS BECAUSE OTHERWISE IT
01:31:58:25  DOESN'T REALLY MATTER.
01:31:59:19  SO ABOUT 80% OF BROWSERS TODAY
01:32:07:28  HAVE SUPPORT FOR WEBSOCKETS.
01:32:09:28  AND 20% DON'T.
01:32:12:13  SO YOU SHOULD USE A POLYFILL
01:32:15:22  LIBRARY, USUALLY SOCKET.IO, IN
01:32:18:22  ORDER TO NOT MAKE YOUR
01:32:20:16  APPLICATION NOT WORK FOR THOSE
01:32:23:16  APPS.
01:32:24:01  OKAY.
01:32:24:10  ALL RIGHT.
01:32:25:22  SO THAT'S ALL I HAVE FOR YOU
01:32:27:22  FOLKS TODAY.
01:32:28:13  THIS WENT A LITTLE BIT QUICKLY.
01:32:30:28  SO I ALSO HAVE SOME LINKS HERE
01:32:33:28  IF YOU WANT TO LEARN MORE.
01:32:35:04  AND I DIDN'T REALLY GET A CHANCE
01:32:38:13  TO GO INTO SPECIFICS ABOUT WHAT
01:32:40:01  YOU SHOULD USE WITH PYTHON.
01:32:41:25  THERE IS A LIBRARY CALLED FLASK
01:32:45:07  SOCKET.IO WHICH I THINK IS A
01:32:47:13  GOOD CHOICE FOR BUILDING APPS
01:32:49:28  THAT NEED A POLYFILL.
01:32:52:13  THANK YOU.
01:32:52:28  [ Applause ]
01:33:03:01  >> IF YOU HAVE QUESTIONS, I'LL
01:33:04:13  BE OUTSIDE, BECAUSE WE DON'T
01:33:06:10  HAVE ANY MORE TIME RIGHT NOW.
  10

  11

  12

  13

  14

  15

  16

  17

  18

  19

  20

  21

  22

  23

  24

  25
