-00:00:01  >> HELLO, EVERYONE, WE'RE LOCATING THE SPEAKER SO
00:50:28   SO ONE OF THE PARAMS I'M SETTING IS WHERE I'M
00:50:32   SAVING IT AND I'M SAVING IT ON MY DESKTOP.
00:50:35   NEXT THING UP IS WHEN YOU GET A WAY POINT, WHEN
00:50:39   IT STARTS, IT WILL BE CALLED A WAY POINT, YOU'LL
00:50:41   GET A WAY POINT MESSAGE AND YOU WILL MAKE A CALL
00:50:43   BACK TO THIS FUNCTION.
00:50:45   YOU WILL ALSO SUBSCRIBE TO THE ROBOT'S STATE AND
00:50:48   POSITION STUFF, JUST LIKE WE DID BEFORE, JUST
00:50:51   LIKE WE DID IN THE LAST NODE, AND FINALLY, YOU'LL
00:50:53   CREATE WHAT'S CALLED AN ACTION SERVER AND THE
00:50:55   ACTION SERVER WILL ACTUALLY REPLAY THE
00:50:57   ANIMATIONS, AND ALL THIS SAYS IS YOU'RE GOING TO
00:50:59   HAVE SOMETHING CALLED PLAY ANIMATION, IT WILL
00:51:01   TAKE A PLAY ANIMATION ACTION OBJECT, IT WILL
00:51:04   EXECUTE THIS CALLBACK.
00:51:06   SO HERE WE GO IN A STATE UPDATE, LIKE WE SAW
00:51:11   BEFORE, COMING FROM THE ROBOT.
00:51:12   A SPIN UTILITY WHICH BASICALLY KEEPS THIS PROCESS
00:51:16   GOING THE ENTIRE PERIOD.
00:51:18   AND FINALLY, A HANDLE SAFE STATE -- THIS IS WHERE
00:51:22   WE ACTUALLY SAVE THE STATE TO THE FILE.
00:51:25   SO ALL THIS IS IS GETTING THE INPUT MESSAGE,
00:51:29   LOOKING FOR THE FILE NAME INSIDE THIS REQUEST
00:51:31   THING WHICH IS PASSED IN.
00:51:32   SAVING THAT FILE OUT, OR CREATING THAT FILE IF WE
00:51:35   NEED TO AND THEN CREATING RETURN MESSAGE.
00:51:37   THE PLAY ANIMATION STATE WILL ALSO JUST BE ALMOST
00:51:43   NEARLY IDENTICAL, RIGHT?
00:51:44   I HAVE THIS GOAL MESSAGE THAT COMES IN, FROM THAT
00:51:47   GOAL MESSAGE I GET A FILE NAME AND A STEP SIZE
00:51:50   AND I BASICALLY PLAY THE RESULT.
00:51:51   AND WHAT I DO IS JUST CHECK, SO IF I CHECK AND
00:51:56   THE FILE'S NOT THERE, I CREATE THIS RESULT
00:51:58   MESSAGE AND SAY I COULD NOT FIND THE FILE, PASS
00:52:02   IT BACK TO THE ROBOT, THE THING THAT CALLED ME.
00:52:03   OTHERWISE, I CONTINUE.
00:52:05   I LOAD UP THAT FILE AND THEN I START PLAYING ALL
00:52:08   THE WAY THROUGH.
00:52:09   SO ONCE I PLAY IT, I JUST SAY, GO HERE, GO HERE,
00:52:12   WAIT, GO HERE, WAIT.
00:52:14   OKAY.
00:52:18   SO TO DEPLOY THAT ON TO THE JOY STICK, IT'S VERY,
00:52:21   VERY SIMPLE, VERY SIMILAR TO CREATING THE MAIN
00:52:24   NODE.
00:52:25   IF THERE'S TIME, I MIGHT SKIM OVER THIS A ALSO
00:52:28   BIT BUT I BIND THESE METHODS THAT CALL THESE
00:52:30   FUNCTIONS.
00:52:31   AND I CREATE THE MESSAGES THAT GO WITH THEM.
00:52:33   AND THEN I JUST ADD THIS ONE LINE BACK INTO MY
00:52:37   LAUNCH FILE, SO ALL OF THIS ENDS UP LOOKING LIKE
00:52:49   THIS.
00:52:49   SO NOW WHAT I CAN DO IS IF I PUSH HERE, I'LL
00:52:58   RECORD A WAY POINT, RECORD A WAY POINT, RECORD A
00:53:02   WAY POINT, AND THEN I CAN GO AND PLAY THEM BACK.
00:53:06   RIGHT?
00:53:06   ALL RIGHT.
00:53:07   SO WE'VE BUILT UP SOME PRIMITIVES, THE ROBOT IS
00:53:11   MOVING AROUND, WE'RE ABLE TO DO SOMETHING
00:53:13   SLIGHTLY MORE COMPLEX BUT THE ROBOT HAS NO
00:53:15   FEEDBACK.
00:53:15   THE ROBOT IS JUST FLAILING AROUND IN THE MIDDLE
00:53:17   OF SPACE, HAVE NO IDEA WHERE IT'S GOING OR WHAT
00:53:19   IT'S DOING.
00:53:22   SO WE'RE DOING TO ADD CAMERAS TO THIS ROBOT.
00:53:26   OH, ONE LAST THING.
00:53:27   I KNOW THIS LOOKS COOL RUNNING IN THE SHELL BUT
00:53:29   WE WANT ALL THIS STUFF TO RUN ON THE WEB, SO
00:53:32   THERE IS THERE IS SOMETHING TO CHECK OUT WHEN
00:53:33   THIS IS ALL OVER CALLED ROBOT WEB TOOLS,
00:53:36   BASICALLY A BRIDGE BETWEEN THE ROS MESSAGE BOX
00:53:38   THAT I'VE BEEN PLAYING ON AND JAVASCRIPT, SO YOU
00:53:41   CAN BUILD ALSO JAVASCRIPT APPS THAT RUN ON TOP OF
00:53:45   YOUR ROBOT.
00:53:46   LOTS OF FUN, CHECK IT OUT.
00:53:48   SO NOW WE'RE GIVING THE ROBOT SOME INFORMATION,
00:53:50   SOME FEEDBACK.
00:53:50   WE'LL GIVE IT A CAMERA.
00:53:52   AND IN ROS, RUNNING CAMERAS IS LIKE THE EASIEST
00:53:55   THING IN THE WORLD.
00:53:55   LIKE YOU HAVE RUN EVERYTHING FROM $10,000 FLOOR
00:53:58   CAMERAS ALL THE WAY DOWN TO $20, THIS LITTLE
00:54:01   PIDDLY CAMERA UP HERE.
00:54:03   THEY ALMOST ALL WORK, THEY GENERALLY WORK PRETTY
00:54:05   WELL OUT OF THE BOX AND I'VE NEVER SEEN SUCH A
00:54:07   LARGE DIVERSITY OF HARDWARE THAT YOU CAN SORT OF
00:54:10   PLUG AND PLAY.
00:54:11   BALLADINES, LASER SCANNERS, ALL THE COOL TOYS
00:54:14   THAT YOU COULD EVER WANT ARE IN THERE.
00:54:17   ROS CAMERAS TALK OF A MESSAGE IMAGE AND BASICALLY
00:54:20   PUBLISHED OVER THE MESSAGE BUS AND YOU CAN
00:54:22   BASICALLY MARSHAL THEM IN AND OUT OF OPEN CV AND
00:54:26   THEY USE NO LIDS, WHICH ARE SORT OF LIKE ROS
00:54:29   NODES BUT BASICALLY ALLOW TO YOU DO ALL YOUR
00:54:31   PROCESSING WITHOUT MOVING WHOLE CHUNKS OF MEMORY
00:54:34   AROUND, YOU JUST MOVE A POINTER AROUND.
00:54:36   SO TO DO THIS, YOU BASICALLY DO -- INSTALL, ROS
00:54:41   INDIGO CAM AND IMAGE PROC.
00:54:44   THAT GIVES YOU ALL THE TOOLS TO DO ROTATION,
00:54:47   SCALING, THAT SORT OF THING.
00:54:49   YOU CAN ALSO SET UP A DIFFERENT KIND OF CAMERA.
00:54:52   SO HERE IS WHAT LAUNCHING A CAMERA LOOKS LIKE IN
00:54:55   ROS.
00:54:55   BASICALLY, YOU CREATES A CAMERA OBJECT, YOU TELL
00:54:59   IT I WANT IT TO BE THIS BIG, THIS WIDE, GO THIS
00:55:02   FAST, I WANT IT TO USE THIS CALIBRATION FILE AND
00:55:06   RIGHT HERE IS SOME CODE THAT SPINS UP A COUPLE OF
00:55:08   VIEWS OF THE CAMERA.
00:55:09   SO LET'S...
00:55:12   IF I COULD SPELL.
00:55:29   ALL RIGHT.
00:55:29   SO IF YOU GUYS CAN SEE HERE, THIS IS MY CAMERA
00:55:32   OVER HERE.
00:55:34   AND SO IT'S JUST STREAMING AUTOMATICALLY, YOU
00:55:36   KNOW, SIMPLE LAUNCH FILE, WORK RIGHT OUT OF THE
00:55:39   BOX.
00:55:39   I HAVE GOT NO PYTHON HERE BUT WE HAVE A CAMERA,
00:55:42   IT'S RUNNING.
00:55:44   SO I WOULD BE REMISS IF I DIDN'T SHOW YOU HOW TO
00:55:47   DO SOME PROCESSING ON THIS IN PYTHON, SO LET'S
00:55:49   TAKE A LOOK AT THAT.
00:55:50   TO GET IMAGES INTO PYTHON FROM THIS BUS, WHAT
00:55:54   YOU'RE GOING TO USE IS SOMETHING CALLED THE OPEN
00:55:56   CV BRIDGE IN ROS AND WHAT IT DOES IS BASICALLY
00:55:58   TAKES IT OFF THE BRIDGE, MARSHALS IT INTO WHAT'S
00:56:01   CALLED A CV 2 NON-PI ARRAY, AND THAT'S IT.
00:56:09   SO WHAT I'M GOING TO DO HERE JUST AS A TOY
00:56:11   EXAMPLE, I HAVE THIS RED MILK CAP THAT I BROUGHT
00:56:16   IN FOR MY MILK CAP EARLIER, SO I'M GOING TO TEACH
00:56:20   THE ROBOT TO FIND THE MILK CAP, IT WILL FIND THE
00:56:24   IMAGE, FIND THIS AND OUTPUT ITS PIXEL POSITION
00:56:27   AND SIZE.
00:56:28   SO THIS IS A SUPER EASY PYTHON SCRIPT TO WRITE IN
00:56:32   ROS.
00:56:33   ALL I NEED TO DO IS INPUT THIS CV BRIDGE, IMPORT
00:56:37   THE POINT IN IMAGE MESSAGES WHICH ARE ROS
00:56:40   STANDARD MESSAGES, SO ROS HAS ALL THESE GAME FREE
00:56:44   MESSAGE AND BASIC WRAP-AROUND SENSOR MESSAGES AND
00:56:47   SOME OTHER BOOKKEEPING.
00:56:48   I'M GOING TO USE SIMPLE CV BECAUSE I WROTE IT AND
00:56:51   I LIKE USING IT SO HERE'S OUR IMAGE PROCESSING
00:56:54   EXAMPLE CLASS.
00:56:55   ALL THIS IS, SAME STRING, CREATES A CV BRIDGE,
00:56:59   SETS UP MY INPUT TOPICS WHICH I'LL LOOK FOR
00:57:02   MESSAGES IN CAMERA IMAGE REC COLOR, IMAGE REC
00:57:06   COLOR MEANS I WANT THE COLOR RECTIFIED IMAGE,
00:57:09   WHICH IS IF YOU HAVE A FISH-EYED CAMERA MAKES ALL
00:57:13   THE LINES LOOK STRAIGHT AGAIN.
00:57:14   I'M ALSO GOING TO GET A PARAMETER SAYING WHERE I
00:57:16   WANT YOU TO OUTPUT MY POSITION STUFF.
00:57:18   AND THEN I'M BASICALLY GOING TO CREATES A
00:57:22   PUBLISHER, WHICH IS IT IS OUTPUT IMAGE AND
00:57:24   ANOTHER ONE WHICH IS THE OUTPUT POSITION.
00:57:26   I'M GOING TO SAY, I'M GOING TO PUTS POSITIONS ON
00:57:28   THIS TOPIC, IT WILL BE A POINT TYPE AND THEN I'M
00:57:31   GOING TO SUBSCRIBE TO THE INPUT CAMERA MESSAGE.
00:57:34   SO I WANT TO SAY, I WANT TO LOOK AT THIS INPUT
00:57:36   TOPIC, IT WILL BE AN IMAGE AND WHEN I GET AN
00:57:39   IMAGE, SHOW COLORED STUFF.
00:57:41   SPIN MY NODE UP TO RUN AND THEN OUR ONLY
00:57:44   CALL-BACK IS THIS SHOW-COLORED STUFF.
00:57:46   SO WE DO BASICALLY THE MESSAGE MARSHALING.
00:57:52   THEN WE MOVE ALL THE THIS INTO SIMPLE CVISM AGE,
00:57:56   I DO A COPY.
00:57:57   HERE IS ALL OF MY IMAGE PROCESSING, SO WHAT ALL
00:58:00   I'M DOING IS BASICALLY HUE DISTANCE, LOOKING FOR
00:58:05   COLOR, FIND SOMETHING RED.
00:58:06   I DO A CONNECT COMPONENT, WHICH IS BASICALLY
00:58:08   THRESHOLD INTO A TWO-TONE IMAGE.
00:58:10   FIND THE BIGGEST THING THAT IS REDS AND GIVE ME
00:58:12   THE POSITION OF IT.
00:58:13   DRAW THAT THING THAT YOU FOUND WITH THE YELLOW
00:58:17   OVERLAY.
00:58:18   RIGHT HERE.
00:58:19   I BASICALLY TAKE THE POSITION OF THE THING THAT
00:58:22   CAME OUT OF SIMPLE CV, GIVE IT A POSITION AND A
00:58:25   SIZE AND THEN I PUBLISH IT.
00:58:27   AND SO -- AND A LITTLE BIT OF BOILER PLATE SO IF
00:58:34   YOU WATCH THIS...
00:58:37   SO NOW GOING TO SPIN UP ONE WINDOW AND I MIGHT
00:58:48   NEED THE LIGHTS FOR THIS, WE'LL SEE.
00:58:50   HERE'S MY RED BOTTLE CAP AND HERE, HOPEFULLY,
00:58:53   PLEASE WORK...
00:58:55   MIGHT GET IT.
00:58:56   MIGHT NEED THE LIGHTS.
00:58:59   I'LL USE MY FLASHLIGHT.
00:59:01   FIND IT.
00:59:04   HERE IT IS.
00:59:05   SO IF I GO SWITCH OVER HERE, I CAN ACTUALLY TAP
00:59:07   DIRECTLY INTO THE ROS MESSAGE BUS...
00:59:13   OH, NO.
00:59:18   SO HERE I'M GOING TO HAVE ROS ACTUALLY TELL ME
00:59:22   EVERY SINGLE TOPIC THAT'S BEING PUBLISHED RIGHT
00:59:25   NOW AND I CAN SEE DOWN HERE IN THE BOTTOM, HEY,
00:59:26   HERE'S A POSITION MESSAGE.
00:59:29   WONDERFUL.
00:59:29   SO IF I GO ROS TOPIC, ECHO, FLASH POSITION, IT
00:59:36   WILL ACTUALLY GIVE ME THE CENTROID OF MY RED
00:59:41   THING.
00:59:42   I GRAB THIS -- SEE IF WE CAN DO A SIDE-BY-SIDE
00:59:47   HAVE THE HERE WE GO.
00:59:51   SO I CAN GET THE POSITION OF THIS THING RUNNING
00:59:53   AROUND AND IT'S A MESSAGE, SO IF YOU'RE BUILDING
00:59:55   A ALSO TOY ROBOT AT HOME, THIS IS GREATS, RIGHTS?
00:59:57   YOU CAN GIVE THIS TO A KID AS A PACKAGE AND SAY,
01:00:00   GO LEARN TO TEACH YOUR ROBOT TO FOLLOW A RED BALL
01:00:02   OR SOME SORT OF TRIVIAL TEST LIKE THAT.
01:00:04   SO WE'VE GOT SOME BASICS, SOME INPUT, SOME
01:00:11   OUTPUT, WE CAN CONTROL THE ROBOT.
01:00:12   WOULD YOU GUYS LIKE TO START DOING SOMETHING
01:00:15   INTERESTING LIKE HAVING A ROBOT FIGURE OUT WHAT
01:00:17   IT LOOKS LIKE?
01:00:17   ALL RIGHT.
01:00:18   SO I'M GOING TO TALK ABOUT WHAT IS CALLED IN ROS
01:00:21   AND SOME OTHER SORT OF PARADIGMS, IT'S CALLED AN
01:00:24   URDF, RIGHT?
01:00:25   IT'S SWEDISH, STANDS FOR UNIVERSAL ROBOT
01:00:29   DESCRIPTION FORMAT.
01:00:30   WHAT THAT IS IS BASICALLY A PILE OF XML THAT
01:00:33   DEFINES THE GAME FREE OF YOUR ROBOT.
01:00:35   SO IT SAYS, HEY, THE ROBOT HAS AN ARM HERE, HEY,
01:00:38   IT'S GOT A MOTOR HERE, THIS IS WHAT MY ROBOT
01:00:41   LOOKS LIKE, THE JOINT UPON WHICH IT MOVES, IT
01:00:47   ALLOWS IT TO DO THOUGHTFUL GAME FREE ABOUT HOW
01:00:50   THIS STUFF WORKS AND WHAT'S GREAT ABOUT ROS IS
01:00:52   THERE'S EXPORTERS IN CAD FOR THIS, SO I CAN GO TO
01:00:56   SOLID WORKS AND TAKE MY ROBOT MODEL AND EXPORT
01:00:57   IT.
01:00:58   I DID NOT DO THAT FOR THIS ROBOT.
01:00:59   I DID THIS BY HAND BUT I DID IT BY HAND SO I CAN
01:01:02   SHOW YOU WHAT IT LOOKS LIKE REALLY, REALLY
01:01:04   QUICKLY.
01:01:05   SO ROBOTS ARE MADE OUT OF JOINTS, THESE RIGID
01:01:08   BOTS AND JOINTS WHICH ARE THESE THINGS WHICH ARE
01:01:12   MOVING AROUND ABOUT AN AXIS, SO WHAT THE URDF
01:01:15   DOES IS BASICALLY ALLOW YOU TO DEFINE YOUR JOINTS
01:01:18   AND YOUR LINKS.
01:01:19   SO IT LOOKS JUST LIKE THIS, SO JUST A PILE OF
01:01:24   XML, SAY, HEY, THE ROBOT'S BOTTOM BASE HERE IS
01:01:27   JUST ABOUT THIS BIG.
01:01:28   THEN THERE'S ANOTHER LINK RIGHT HERE, WHICH IS
01:01:32   THE FIRST PIECE OF THE ARM.
01:01:34   THERE'S ANOTHER LINK UP HERE WHICH IS THE SECOND
01:01:36   PIECE OF THE ARM.
01:01:37   AND THEN THERE'S ANOTHER LINK UP HERE, WHICH IS
01:01:39   THE THIRD PIECE OF THE ARM.
01:01:41   AND THEN THERE ARE JOINTS WHICH ARE THE JOINT
01:01:44   RIGHT HERE, THE JOINT RIGHT HERE, THE JOINT RIGHT
01:01:46   HERE, AND THE JOINT RIGHT HERE.
01:01:48   AND I JUST DEFINE THESE IN XML, KIND OF TEDIOUS,
01:01:52   WON'T GO THROUGH IT BUT YOU CAN GO THROUGH AND DO
01:01:55   THAT AND WHAT YOU END UP WITH IS BEING ABLE TO
01:01:56   RENDER A MODEL OF YOUR ROBOT BY JUST ADDING A FEW
01:01:59   SIMPLE LINES BACK TO YOUR LAUNCH FILE.
01:02:02   SO WHAT I SAY IS, HEY, I WANT TO YOU TAKE THIS
01:02:05   ROBOT DESCRIPTION FORMAT THAT I JUST LEARNED AND
01:02:08   SPIN IT UP AND PUT IT INSIDE THIS VISUALIZATION
01:02:11   FRAME CALLED ARVIS.
01:02:13   SO IF YOU DO THIS RIGHT, AND YOU MAKE YOUR
01:02:15   PERFECT INCANTATION, IT WILL START LOOKING LIKE
01:02:32   START LOOKING LIKE THIS, SO I HAVE A MODEL -- NOT
01:02:35   PERFECT BUT AN APPROXIMATION, RIGHT?
01:02:36   SO I CAN MOVE HIM AROUND, DO THIS, I CAN GO LIKE
01:02:40   THIS, ACTUALLY LOOK AT WHERE ALL THE JOINTS ARE.
01:02:42   SO THAT'S COOL, RIGHT?
01:02:44   WE CAN SEE OUR ROBOT.
01:02:45   WE THINK WE CAN PROBABLY PICK OUT SOME REALLY
01:02:49   COOL STUFF FOR THIS BUT WE NEED TO WIRE IT UP TO
01:02:52   TWITCHEE, RIGHT, SO YOU WANT TO MIRROR IT UP SO
01:02:54   IT MATCHES WHAT'S GOING ON HERE?
01:02:56   YAY.
01:02:56   ALL RIGHT.
01:02:57   SO THE WAY YOU WIRE THIS UP IS YOU CREATES WHAT'S
01:03:01   CALLED A JOINT STATE PUBLISHER.
01:03:02   SO A JOINT STATE PUBLISHER BASICALLY IS SAYING,
01:03:05   HEY, YOU NAMED ALL THESE JOINTS HERE SO I'M GOING
01:03:08   TO PUBLISH THEIR POSITION AND I WILL ACTUALLY
01:03:11   MAKE THE MODEL MATCH WHAT YOU TELL ME TO.
01:03:14   I DON'T NEED TO KNOW WHERE EVERYTHING IS, JUST
01:03:15   THE KEY PARTS THAT MOVE ARE.
01:03:17   TO DO THIS, I CREATE ANOTHER NODE, THIS IS CALLED
01:03:20   JOINT STATE REPUBLISHER.
01:03:21   IT'S GOT A COUPLE LITTLE PARAMETERS IN HERE THAT
01:03:23   I USE TO TWEAK STUFF AND ALSO GOT WHAT'S CALLED A
01:03:26   T.F. LISTENER.
01:03:28   AND IT BASICALLY LISTENS TO THE ROBOT OUTPUT, THE
01:03:32   ROBOT STATUS OUTPUT AND ALSO LISTENS TO CONSENT
01:03:35   MESSAGES TO WHERE THE ROBOT SHOULD BE.
01:03:37   AND IT ALSO HAS ANOTHER TOPIC CALLED THE JOINT
01:03:41   TOPIC AND WE PUBLISH TO THE JOINT TOPIC.
01:03:43   WE SAY EVERY TIME THE ROBOT UPDATES, YOUR JOINTS
01:03:45   ARE HERE, YOUR JOINTS ARE HERE, YOUR JOINTS ARE
01:03:48   HERE AND BASICALLY ORVIS IS LISTENING TO WHERE
01:03:51   THE JOINTS ARE AND RENDERING THAT.
01:03:52   MAKE IT LOOK LIKE THIS MY JOINTS ARE HERE, MAKE
01:03:54   IT LOOK LIKE THIS.
01:03:55   SO TO DO THIS, YOU BASICALLY WAIT AND YOU CREATE
01:03:58   A CALL-BACK METHOD FOR EVERY TIME THE ROBOT
01:04:01   PUSHES ITS JOINT STATE.
01:04:03   AND HERE IS WHERE THAT HAPPENS.
01:04:08   SO ALL I DO IS -- SO THIS IS A ALSO BIT OF CODE,
01:04:11   THIS IS A LITTLE BIT MORE EXPANSIVE, I'M GOING TO
01:04:14   SKIP OVER IT BUT WHAT IT DOES IS MAKES SURE THE
01:04:16   HEAD IS ALWAYS FACING DOWN BUT WHAT I DO IS TAKE
01:04:18   THE INPUT MESSAGE POSITION, I CONVERTS IT FROM
01:04:23   GRADIENTS -- FROM DEGREES TO GRADIENTS, I DO A
01:04:26   LITTLE BIT OF MATH ON IT.
01:04:27   I SET THAT UP.
01:04:29   AND I BASICALLY CREATE THIS JOINT STATE MESSAGE
01:04:32   HERE AND I GIVE IT EACH OF THE JOINT NAMES AND I
01:04:35   SET EACH OF THE JOINT VALUES AND THEN I JUST
01:04:38   PUBLISH THAT, AND THAT'S IT.
01:04:39   AND THEN TO CONSTRUCT THIS INTO A LAUNCH FILE, WE
01:04:42   JUST ADD A COUPLE MORE LINES, RIGHTS?
01:04:44   SO WE ALREADY HAVE THE ARE ADVICE STUFF IN HERE,
01:04:48   THE OTHER STUFF WE'VE WRITTEN, I JUST SPIN UP
01:04:50   THIS NODE WHICH IS RIGHT DOWN HERE, WHICH IS THE
01:04:52   ARM CONTROLLER -- WAIT.
01:04:55   A JOINT STATE PUBLISHER.
01:04:58   SO LET'S SEE THIS RUNNING.
01:05:01   GOOD MORNING.
01:05:11   SO, NOW WE CAN ACTUALLY HAVE A ROBOT THAT MATCHES
01:05:15   WHAT IT'S DOING IN HERE.
01:05:16   [ Applause ]
01:05:17
01:05:17   >> THANK YOU.
01:05:18   NOW IT'S GETTING IMPRESSIVE.
01:05:21   ALL RIGHT.
01:05:22   SO THE GUY UP FRONT IS GOING TO TELL ME I AM
01:05:25   RUNNING A ALSO BIT LATE SO THE NEXT BIT OF THIS
01:05:30   IS HOW ABOUT WE WIRE UP THIS CAMERA THAT I SET UP
01:05:33   TO DO SOMETHING ACTUALLY INTERESTING WITH THIS?
01:05:35   SO LET'S PUT ALL THIS TOGETHER.
01:05:40   SO WE HAVE THIS LIKE INTUITIVE NOTION THAT IF I
01:05:43   HAVE A CAMERA UP HERE AND I HAVE A ROBOT AND I
01:05:45   KNOW IN THE -- AND THE ROBOT KNOWS WHERE THE
01:05:47   CAMERA IS AND WE KNOW WHERE THE ROBOT'S ARM IS,
01:05:50   WE CAN KINDS OF, LIKE, FIGURE OUT WHERE EACH
01:05:54   PIXEL MAPS TO, THERE'S ALWAYS A BUNCH WHERE YOU
01:05:58   CAN'T DO THAT QUITE CORRECTLY, BUT YOU HAVE SORT
01:06:00   OF AN INTUITIVE NOTION AND YOU WOULD LIKE TO BE
01:06:03   ABLE TO TELL THE ROBOT WHERE IT IS IN THE WORLD.
01:06:06   AND SO WHAT I'VE DONE HERE IS I WOULD LIKE TO BE
01:06:08   ABLE TO TELL THE ROBOT WHERE IT IS WITH RESPECT
01:06:10   TO MY WHOLE WORLD AND TELL IT WHERE CERTAIN
01:06:13   THINGS ARE.
01:06:13   SO ONE SOLUTION TO THIS IS I COULD SIT HERE ALL
01:06:18   DAY WITH A YARDSTICK AND A TAPE MEASURE AND
01:06:23   FIGURE OUT WHERE ALL THESE THINGS ARE AND MEASURE
01:06:25   LIKE HOW FAR THIS CAMERA IS FROM THIS JOINT AND
01:06:27   ALL THAT KIND OF STUFF.
01:06:28   BUT WE'RE LAZY SOFTWARE ENGINEERS, I DON'T WANT
01:06:31   TO DO THAT, EVER, RIGHT?
01:06:32   SO THERE'S ACTUALLY A COUPLE OF PACKAGES I CAN
01:06:35   LEAN ON TO SOLVE ALL THESE PROBLEMS FOR ME.
01:06:37   SO WHAT EERIE GOING TO USE ARE CALLED
01:06:39   A.R. MARKERS, SO WHAT EAR WE' GOING TO DO IS USE
01:06:42   THE CAMERA TO FIND THE A.R. MARK YEARS SO THESE
01:06:45   ARE LIKE SUPER HIGH CONTRAST, BIG PATTERNS THAT
01:06:47   YOU CAN DO IMAGE PROCESSING ON PRETTY QUICKLY,
01:06:50   YOU KNOW, HOW BIG THEY ARE.
01:06:51   YOU HAVE A BUNCH OF POINTS ON THERE, AND SO YOU
01:06:54   CAN ACTUALLY FIGURE OUT WHERE THE CAMERA IS
01:06:56   POSITIONED WITH RESPECT TO ONE OF THESE.
01:06:58   SO IF THE CAMERA SEES THIS AND THE CAMERA IS
01:07:00   CALIBRATED, CAN SAY, OH, I'M HERE WITH RESPECT TO
01:07:03   THAT.
01:07:03   AND I CAN ALSO SAY, OH, THE CAMERA'S WITH RESPECT
01:07:07   TO THIS IS OVER HERE, SO I CAN DO THE INVERSE
01:07:10   TRANSFORM AND I CAN ALSO TIE THAT TRANSFORM TO
01:07:13   OTHER BITS IN THE SCENE SO I CAN ACTUALLY TIE
01:07:16   THIS GUY TO SORT OF THIS A.R. MARKER THAT'S
01:07:19   HOLDING OFF BEHIND THE ROBOT.
01:07:21   AND THIS IS JUST A PACKAGE IN ROS, LIKE THIS IS,
01:07:24   LIKE -- OKAY, THIS ONE I INSTALLED FROM SOURCE,
01:07:27   BUT WASN'T A BIG DEAL, USED WHAT'S CALLED A
01:07:30   W.S. TOOL, SO YOU SAY TOOL, GET THIS PACKAGE FROM
01:07:33   GET AND BUILD IT AND YOU DO SOME CONFIGURATION.
01:07:36   SO I ADDED A COUPLE OF LINES HERE TO MY LAUNCH
01:07:39   FILE.
01:07:40   GOING TO SAY, HEY, ROBOT, T.F., BETWEEN YOU AND
01:07:44   THIS MARKER IS THIS BAR AND THE ROTATION FROM
01:07:47   THIS MARKER TO YOU IS LIKE THIS.
01:07:49   AND THEN I FIRE UP THIS A.R. TOOL KIT MARKER,
01:07:54   PACKAGE AND IT JUST RUNS, BASICALLY SUCKS OFF ALL
01:07:59   OF THE DATA FROM MY CAMERA, GOES THROUGH, FIGURES
01:08:02   OUT WHERE ITS POSITION IS WITH RESPECT TO THE
01:08:04   MARKER AND SHOOTS THAT TO RBUS TO SAY YOU'RE
01:08:09   HERE.
01:08:10   A LITTLE BIT OF CONFIGURATION I HAVE TO DO WHERE
01:08:12   I'M GOING TO SAY HERE I HAVE THREE MARKERS.
01:08:15   LET'S TAKE A LOOK AT THIS.
01:08:16   I'M GOING TO NEED THE HOUSE LIGHTS FOR THIS, IF
01:08:18   THAT'S POSSIBLE.
01:08:18   SO THIS WON'T ACTUALLY SPIN UP BECAUSE -- IF I
01:08:40   CAN GET THE LIGHTS HERE, HOPEFULLY THIS WILL
01:08:42   WORK.
01:08:42   SINCE IT WON'T SPIN UP UNTIL IT ACTUALLY SEES THE
01:08:45   MARKER BUT IF I USE THIS -- THERE IT GOES.
01:08:48   LET'S TAKE A LOOK AT THIS.
01:08:50   SO YOU CAN SEE, I KNOW WHERE THE IMAGE S I KNOW
01:08:52   WHAT'S IN THE IMAGE AND I HAVE A MODEL OF MY
01:08:55   ROBOT -- THERE WE GO.
01:08:56   NOW WHAT I CAN DO, I CAN ACTUALLY PROJECT MY
01:08:59   ROBOT MODEL ON TO MY IMAGE RIG, WHICH YOU CAN SEE
01:09:04   WHERE THIS COULD GET KIND OF USEFUL, RIGHT,
01:09:06   BECAUSE NOW I CAN FIND THE OTHER LITTLE MARKERS
01:09:09   IF I WERE TO PUT THEM ON BOXES OR OTHER THINGS MY
01:09:12   ROBOT WANTED TO PICK UP.
01:09:13   CAN WE FIND IT?
01:09:14   MAYBE.
01:09:14   SO IF WE HAVE A MARKER FOR HERE, RIGHT, AND I
01:09:22   HAVE A MARKER FOR THE ROBOT AND I KNOW WHERE THIS
01:09:24   IS TO HERE AND I KNOW WHERE THIS THING IS IN MY
01:09:28   ENTIRE SCENE, ROS MAKES IT SUPER SIMPLE TO FIGURE
01:09:30   OUT THE MATH HERE.
01:09:31   SO I CAN BASICALLY SAY THE POSITION DIFFERENTIAL,
01:09:33   THE DIFFERENCE IN POSITION BETWEEN THE TIP OF MY
01:09:35   ROBOT RIGHT OUT HERE AND THIS THING THAT I LAID
01:09:39   IN THE SCENE, I CAN FIGURE THAT OUT ALL IN A
01:09:41   FUNCTION CALL WHICH IS PRETTY SWEET.
01:09:45   JUST TAKE A LOOK AT THIS A LITTLE BIT MORE
01:09:48   BECAUSE YOU GUYS DIDN'T SEE THIS.
01:09:50   IT'S MOVING AROUND AND SO IN ROS, WHAT I CAN DO
