           APRIL 10, 2015 PYCON, 12:10 - 12:40  - GOT TEXT
00:17:53   COMPRESSION TABLE AND THEN YOU ALWAYS GET
00:17:56   ESSENTIALLY UNCOMPRESSED HEADERS.
00:17:59   I DON'T THINK YOU CAN TURN OFF HUFFMAN ENCODING
00:18:03   FOR THOSE SO YOU MAY NEED TO DO HUFFMAN DECODING,
00:18:07   I'LL HAVE TO CHECKS.
00:18:09   >> AUDIENCE:  HI, OTHER THAN THE RPC USE, WHAT DO
00:18:12   YOU SEE HYPER BEING USED AS, OR USED FOR IN
00:18:16   PYTHON?
00:18:17   >> THAT'S A GOOD QUESTION.
00:18:18   I HAVE AN EXPLICIT LONG-TERM GOAL TO GET REQUESTS
00:18:21   TO USE IT.
00:18:21   I'M KIND OF CHEATING BUT IN THE FOCUSED AREAS, I
00:18:27   WOULD LIKE TO BE ABLE TO TRANSPARENTLY IN TO WORK
00:18:30   BETWEEN 1.1 AND 2 SO YOU CAN USE WHATEVER IS MOST
00:18:33   PRESENT.
00:18:33   IT ALSO HAS A SEPARATE, A THOROUGHLY SEPARATE
00:18:36   FRAMING LAYER SO THE BIT THAT KNOWS ABOUT HTTP
00:18:39   FRAMES AND THE BIT THAT KNOWS ABOUT H-PAC ARE
00:18:41   QUITE SEPARATE AND COULD BE BROKEN OUT INTO OWN
00:18:44   LIBRARIES, RECENTLY, SO I'M TALKING TO SOMEONE
00:18:46   WHO IS CONSIDERING ADDING SUPPORT TO THE STANDARD
00:18:48   LIBRARY, USING THE FRAMING LAYER.
00:18:50   I ALSO PLAN TO ADD SUPPORT FOR THINGS LIKE
00:18:53   TWISTED AND G-EVENT AND ALL THOSE SORTS OF
00:18:56   THINGS, AND IDEALLY, I WOULD LIKE TO WRITE A
00:18:59   SERVER IMPLEMENTATION AT SOME POINT, AS WELL,
00:19:01   PROBABLY ON A-SYNC IO, BUT THAT'S ASSUMING I HAVE
00:19:04   EIGHT MILLION HOURS BECAUSE THERE IS A LOT OF
00:19:07   WORK THERE.
00:19:07   >> AUDIENCE:  A FOLLOWUP TO THAT, USUALLY THE
00:19:09   FLOW IN PYTHON, IS A REQUEST RESPONSE KIND OF
00:19:14   DEAL, WHERE HTTP1 PROBABLY WORKS OKAY.
00:19:18   SO IS IT A DIFFERENT INTERFACE THAT REQUEST IS
00:19:22   GOING TO IMPLEMENT OR DO YOU HAVE ANY VISION
00:19:24   THERE?
00:19:25   >> MY EXPECTATION IS THAT THE -- WE WILL KEEP
00:19:29   THAT ABSTRACTION BUT IN PRACTICE, TO GET GOOD
00:19:32   PERFORMANCE OUT OF IT, TO GET LIKE EXCELLENT
00:19:35   PERFORMANCE OUT OF IT, YOU WILL NEED TO START
00:19:38   HAVING CONCURRENT SEE IN PLACE.
00:19:39   SO YOU MIGHT USE ONE OF THE CONCURRENT INTERFACES
00:19:41   TO REQUEST, LIKE G-REQUESTS OR T-REQUESTS OR T
00:19:44   REC OR ANY OF THOSE.
00:19:46   OR EVEN JUST SPAWN A BACKGROUND THREAD THAT
00:19:52   MULTIPLEX ON TO SO YOU CAN HAVE MANY, MANY
00:19:55   THREADS RUNNING AND THEY USE ONE UNDERLYING
00:19:57   CONNECTION, MULTIPLEXING DOWN IT.
00:19:59   AGAIN, I WOULD LOVE TO TALK ABOUT THIS WITH MORE
00:20:02   USERS BECAUSE I WANT TO GET A FEEL FOR WHAT THOSE
00:20:04   USE CASES LOOK LIKE.
00:20:05   IT'S EASY FOR ME TO DESIGN IN A BUBBLE AND NONE
00:20:07   ONE WILL LIKE IT.
00:20:09   >> AUDIENCE:  THANK YOU.
00:20:12   >> AUDIENCE:  A QUICK FOLLOW-UP QUESTION TO GO
00:20:14   AFTER THE ONE ABOUT SERVER PUSH.
00:20:16   IT SEEMS LIKE HTTP2 IS CRYING TO REQUIRE THE
00:20:19   APPLICATION LAYER TO BE MUCH, MUCH SMARTER THAN
00:20:21   IT IS RIGHT NOW WITH HTTP1.
00:20:24   THE APPLICATION LAYER HAS TO DECIDES WHAT TO PUSH
00:20:25   AHEAD OF TIME, WHAT THE USER IS GOING TO NEED,
00:20:28   EVERYTHING AHEAD OF TIME.
00:20:29   DO YOU THINK THERE IS A SOLUTION TO THAT IN
00:20:34   ENGINE X OR DO YOU THINK IT'S ENTIRELY THE
00:20:36   RESPONSIBILITY OF THE APPLICATION DEVELOPER TO
00:20:38   MAKE IT SMART ENOUGH TO HANDLE HTTP2?
00:20:44   >> I THINK WITH COMPUTERS ALMOST EVERYTHING IS
00:20:47   POSSIBLE, SO I THINK THAT YOU COULD ABSOLUTELY
00:20:50   SOLVE THIS IN ENGINE X AND I THINK ANYONE WHO
00:20:54   DOES IS GOING TO HAVE A REALLY GREAT CONFERENCE
00:20:56   SPEAKING CAREER AND HOPEFULLY TURN IT INTO QUITE
00:20:58   A BIT OF MONEY BUT, IN PRACTICE, CURRENTLY, THE
00:21:01   APPLICATION LAYER HAS TO KNOW ABOUT IT, SO WHAT'S
00:21:03   THE EXPECTED WAYS OF DEALING WITH THIS WILL BE TO
00:21:06   ADD EXTRA HEADERS THAT YOUR SERVER INTERCEPTS
00:21:08   THAT SAY THINGS LIKE THIS OTHER RESOURCE IS
00:21:11   RELATED, PLEASE PUSH IT.
00:21:12   SO THAT'S THE CURRENT EXPECTATION OF THE FLOW.
00:21:15   WE'LL GET THAT RIGHT FIRST AND THEN WORRY ABOUT
00:21:17   BEING SMART.
00:21:19   >> AUDIENCE:  OKAY, GREAT, THANKS.
00:21:21   GREAT TALK.
00:21:22   >> THANK YOU.
00:21:25   >> I WANTED TO ASK IF THERE'S ANYTHING ON THE
00:21:26   ROAD --
00:21:38   >> THE ANSWER IS CURRENTLY NO.
00:21:39   THERE ARE A COUPLE OF LAYERS TO THIS QUESTION,
00:21:41   SO, FIRSTLY, THE WORKING GROUP IS EXHAUSTED.
00:21:46   HTTP2 WAS A BATTLE, A BATTLE FOR TWO YEARS, THERE
00:21:48   WAS A LOT OF CONTENTION ABOUT IT, A LOT OF BACK
00:21:51   AND FORTH AND A LOT OF PEOPLE NEED SOME TIME TO
00:21:54   NOT DO THAT.
00:21:55   ARGUMENTS ON THE MAILING LIST GET TIRING AFTER A
00:21:58   WHILE.
00:21:58   THAT SAID, THERE HAS BEEN LOTS OF EXPLICIT
00:22:00   DISCUSSION ABOUT HTTP3.
00:22:02   WE'RE NOT PROPOSING TO DO IT RIGHT NOW, NO ONE
00:22:04   PANIC BUT IT'S THE KIND OF THING THAT WE'RE
00:22:07   PREPARED TO TALK ABOUT, WE'RE GOING TO LET THE
00:22:09   STANDARD KIND OF BOIL -- KIND OF SIMMER FOR SIX
00:22:12   MONTHS, LET PEOPLE IMPLEMENT, LET PEOPLE FIND THE
00:22:15   ACTUAL PROBLEMS THEY HIT IN THE WILD AND THEN
00:22:16   WE'LL COME BACK TO THE TABLE, I THINK, AND LOOK
00:22:18   AT WHETHER OR NOT WE CAN ADDRESS THESE WITH
00:22:20   EXTENSIONS OR WHETHER OR NOT WE REALLY HAVE TO
00:22:23   RE-SPEC.
00:22:24   ONE OF THE GOOD THINGS THAT CAME OUT OF THIS, WAS
00:22:26   A WHOLE INFRASTRUCTURE FOR TRANSPARENTLY ADDING
00:22:29   EXTRA PROPERTY TO COMES THAT YOU CAN UPGRADE TO
00:22:32   SO HOPEFULLY FURTHER HTTP VERSIONS SHOULD BE
00:22:36   EASIER TO HANDLE THAN THIS ONE.
00:22:38   THIS ONE REQUIRED A LOT OF EXTRA INFRASTRUCTURE.
00:22:41   >> AUDIENCE:  I THINK WE'RE GOING HAVE TO CUT IT
00:22:44   OFF THERE BECAUSE I'M HUNGRY FOR LUNCH, SO THANK
00:22:48   YOU, CORY, AND GET SOME LUNCH, FOLKS.
00:22:51   [ Applause ]
00:23:43   [ LUNCH BREAK ]
00:23:47   [ ENDED AT 12:47. ]






















