-00:00:02  >> GOOD AFTERNOON, EVERYBODY.
00:50:28   YOU'RE GETTING A AND THE SECOND TIME YOU GET B
00:50:30   AND SO ON SO WHAT HAPPENS IN THE INTERPRETER WHEN
00:50:35   WE CALL THIS FUNCTION.
00:50:37   IT'S JUST LIKE OUR MINIATURE EXAMPLE BEFORE.
00:50:39   THE PYTHON INTERPRETER PUSHES THE VALUE OF A ON
00:50:41   TO THE STACK, THAT'S 7.
00:50:43   PUSHES THE VALUE OF B ON THE STACK, THAT'S FIVE.
00:50:45   THEN IT CALCULATES BINARY MOD OF ONE AGAINST THE
00:50:50   OTHER, GETS TWO AND PUSHES THAT ON TO THE STACK
00:50:52   AND THEN THE ANSWER GETS STORED BY THE STORE-FAST
00:50:55   INSTRUCTION WHICH MEANS THAT THE NAME ANSWER IN
00:50:57   OUR EXAMPLE WILL BE BOUND TO THE NUMBER TWO.
00:50:59   SO NOW WHAT?
00:51:04   WE COMPLETED THIS FIRST LINE OF CODE HERE, THE
00:51:07   ANSWER IS A MOD B AND DOWN TO LINE THREE.
00:51:09   WE KNOW WHAT LOAD FAST DOES, HERE IN POSITION 10,
00:51:12   SECOND LINE UP FROM THE BOTTOM.
00:51:13   THAT PUSHES THE VALUE ON TO STACK.
00:51:15   AND THEN THERE'S RETURN VALUE, WHICH PRESUMABLY
00:51:18   IS RELATED TO THIS RETURN STATEMENT BUT IN OUR
00:51:20   CURRENT MENTAL MODEL, THE INTERPRETER, THERE'S
00:51:22   NOWHERE TO RETURN TO.
00:51:23   SO AT THIS MOMENT, I WOULD LIKE YOU TO REMEMBER
00:51:26   THE CALL STACK THAT I ASKED YOU TO FORGET EARLIER
00:51:29   AND ZOOM OUT A LEVEL.
00:51:30   THE CALL STACK NOW IS MODEL TOP TO BOTTOM AND THE
00:51:36   DATA STACK, WHICH IS THE STACK WE'VE BEEN LOOKING
00:51:37   AT SO FAR IS GOING LEFT TO RIGHT.
00:51:41   THE STACK THAT THE INTERPRETER IS USING FOR
00:51:43   CALCULATIONS, I DON'T KNOW IF DATA STACK IS
00:51:45   COMMON TERMINOLOGY BUT CERTAINLY IT IS A STACK
00:51:47   THAT CONTAINS DATA SO THAT'S THE TERM I WILL BE
00:51:50   USING TODAY.
00:51:50   MEANWHILE, THE CALL STACK IS MADE UP OF FRAMES.
00:51:53   YOU HAVE ONE FRAME ON THE CALL STACK FOR EACH
00:51:56   LEVEL OF YOUR CODE, AND THIS IS SOMETHING THAT
00:51:58   YOU'RE PROBABLY VISCERALLY REALLY FAMILIAR WITH
00:52:00   BECAUSE YOU SEE IT ALL THE TIME IN TRACE-BACKS,
00:52:03   SO YOUR TRACE-BACK SAYS MOST RECENT CALL ASKED
00:52:05   AND THEN HAS SEVERAL LEVELS.
00:52:07   EACH ONE OF THOSE LEVELS CORRESPONDS TO A FRAME.
00:52:09   THE ONE FRAME FOR FUNCTION CALL, ONE FRAME FOR A
00:52:13   MODULE AND SO ON.
00:52:14   EACH FRAME HAS ITS OWN DATA STACK AND THEN ALSO
00:52:16   HAS ANOTHER STACK OF BLOCKS WHICH I WON'T TALK
00:52:18   ABOUT TODAY.
00:52:19   SO THIS IS WHAT THE INTERPRETER LOOKS LIKE IN THE
00:52:21   MIDDLE OF EXECUTING MOD, WHICH IS RIGHT BEFORE
00:52:23   THE BINARY MODULAR HAPPENS.
00:52:25   THERE'S TWO FRAMES ON THE STACK, ONE FOR THE MAIN
00:52:28   SCOPE AND ONE FOR OUR FUNCTION MOD.
00:52:32   AND WHEN RETURN VALUE IS EXECUTED, WHAT THAT'S
00:52:35   DOING IS IT TELLS THE INTERPRETER TO PASS A VALUE
00:52:38   FROM ONE FRAME TO ANOTHER.
00:52:39   NOW, RETURN VALUE IS ONE OF ONLY TWO WAYS TO
00:52:42   ACCOMPLISH THAT.
00:52:43   THE OTHER WAY IS WITH YIELD.
00:52:44   I WANT TO EMPHASIZE THAT THERE'S ONE FRAME ON THE
00:52:49   STACK FOR EACH FUNCTION CALL, NOT FOR EACH
00:52:51   FUNCTION OBJECT OR SOMETHING ELSE LIKE THAT.
00:52:53   AGAIN, PICTURE YOURSELF MAYBE HITTING THE
00:52:56   RECURSION LIMIT WHERE YOU GET A TRACE-BACK THAT
00:52:58   IS 500 FRAMES LONG, EVEN THOUGH THE SAME
00:53:01   FUNCTION.
00:53:02   SO WE HAD A RECURSIVE CALL, LIKE THIS FACTORIAL
00:53:06   CALCULATION AND IT WILL START OUT LOOKING LIKE
00:53:08   THIS.
00:53:08   I'M NOT SHOWING THE BYTECODES HERE BUT AT THIS
00:53:10   POINT WE'RE IN THE MIDDLE OF THE CALL TO FACTOR
00:53:12   OF 3 AND ABOUT TO CALCULATE THREE MINUS ONE, SO
00:53:14   WE DO THAT, GET THE ANSWER TWO.
00:53:17   AT THIS POINT, WE HAVE THE FUNCTION OBJECT
00:53:19   FACTORIAL ON THE PREVIOUS FRAME'S DATA STACK.
00:53:23   I KNOW THIS IS A LITTLE BIT WEIRD.
00:53:25   CALL A FUNCTION CONSUMES A FUNCTION OBJECT OFF OF
00:53:28   THE STACK IN THIS WAY AND WHEN IT'S ACTUALLY
00:53:31   CALLED, IT CREATES A NEW FRAME FOR THE DEEPER
00:53:34   RECURSIVE CALL.
00:53:35   SO THEN THE INTERPRETER IS LOADING UP N, WHICH IS
00:53:39   NOW TWO AND PUSHING THAT ON TO THE STACK.
00:53:41   NOTICE, ALSO, THAT THERE IS A VALUE LEFT ON THE
00:53:43   DATA STACK IN THE PREVIOUS FRAME.
00:53:45   SO THAT'S THE N IN THE RESULT THAT IS WAITING FOR
00:53:49   FACT OF N MINUS ONE TO FINISH EXECUTING SO WE CAN
00:53:52   COME BACK TO IT.
00:53:53   WE'LL NEED IT THERE TO MULTIPLY WHEN THE CALL
00:53:54   STACK IS UNWINDING.
00:53:56   SKIPPING AHEAD A LITTLE BIT, WE'LL HIT THE BASE
00:53:59   CASE AND WE START UNWINDING SO THAT ONE GETS
00:54:03   RETURNED FROM THE TOP FRAME DOWN TO THE NEXT ONE
00:54:04   DOWN AND MULTIPLIED, MULTIPLY IT AGAIN, GET SIX
00:54:07   AND PASS THAT BACK TO THE CALLING FRAME.
00:54:08   SO THESE ARE THE BASIC PIECES THAT WE NEED TO
00:54:15   IMPLEMENT A PYTHON INTERPRETER, OUR OWN VIRTUAL
00:54:18   MACHINE.
00:54:18   WE NEED SOME WAY TO CREATE FRAMES, WE NEED TO
00:54:20   PROVIDE A DATA STACK FOR THAT FRAME AND ALSO
00:54:22   BLOCK STACK, AND WE NEED TO DEFINE A WAY TO RUN
00:54:25   THE FRAMES, AND TO RUN THE FRAMES, WE NEED TO
00:54:27   DEFINE THE CORRECT OPERATIONS FOR EACH
00:54:30   INSTRUCTION THAT WE MAY HIT, JUST AS WE DID FOR
00:54:32   OUR TOY INTERPRETER AT THE BEGINNING.
00:54:34   THE ONLY DIFFERENCE IS NOW THERE ARE A LOT MORE
00:54:36   INSTRUCTIONS.
00:54:37   I'M OMITSING A COUPLE OF OTHER NECESSARY
00:54:40   INGREDIENTS, LIKE TRACKING THE EXCEPTION STATE
00:54:43   AND TRACKING NAME SPACES AND SCOPES AND THAT SORT
00:54:45   OF THING.
00:54:45   IF THERE'S TIME, I CAN TALK ABOUT THAT IN Q AND
00:54:47   A.
00:54:48   SO WE HAVE A LOT MORE INSTRUCTIONS TO DEFINE FOR
00:54:54   A REAL PYTHON INTERPRETER AND OF COURSE THE
00:54:56   COMPLEXITY OF EACH INSTRUCTION IS ALSO GREATER.
00:54:58   SO WE NEED TO WRITE THE OPERATIONS THAT THE
00:55:00   INTERPRETER SHOULD PERFORM FOR EACH OF THESE
00:55:02   INSTRUCTIONS FOR THIS TO BE ABLE TO EXECUTE.
00:55:04   SO WHAT SHOULD THOSE BE?
00:55:05   WELL, THE GOOD NEWS IS WE'RE NOT STARTING FROM
00:55:08   SCRATCH.
00:55:08   WE HAVE CPYTHON, THE REFERENCE IMPLEMENTATION AND
00:55:11   WE CAN LOOK AT HOW IT IS IMPLEMENTED IN THE
00:55:13   REFERENCE IMPLEMENTATION, IN THE ACTUAL C-PYTHON
00:55:17   INTERPRETER AND GET GUIDANCE.
00:55:19   THE MAIN LOOP IS IN THE C VAL.C.
00:55:25   I SAW ON TWITTER THE WAY TO GETS INTO THE CPYTHON
00:55:29   CODE BASE IS STARTED ON CCODE.C AND START FROM
00:55:33   THERE, SO TODAY WE'LL TWO TWO OF THOSE STEPS AND
00:55:36   HOPEFULLY THREE.
00:55:37   IN OUR TOY INTERPRETER...
00:55:38   CAN YOU SEE THIS OKAY IN THE BACK?
00:55:41   [ Laughter ]
00:55:41   IN OUR TOY INTERPRETER, WE HAD A BIG IF STATEMENT
00:55:46   OR WHAT WOULD HAVE BEEN A BIG IF STATEMENT, IF
00:55:48   THE INSTRUCTION IS THIS, DO THIS.
00:55:49   IF THE INSTRUCTION IS THIS, DO THIS.
00:55:52   CPYTHON IS IMPLEMENT HAD IN THE SAME WAY AND
00:55:56   THE...
00:55:57   THIS IS IT.
00:55:59   I LOVE THIS BECAUSE IT FEELS LIKE SUCH AN OBVIOUS
00:56:03   IMPLEMENTATION IN SOME WAYS, LIKE YOU CAN IMAGINE
00:56:05   SITTING IN THE NETHERLANDS IN 1989 AND SAYING,
00:56:08   OKAY, WE HAVE THESE INSTRUCTIONS AND EACH OF THEM
00:56:11   MAPS TO A SET OF THINGS THAT NEEDS TO BE DONE AND
00:56:14   WE'RE WRITING C, HOW SHOULD WE DO THAT?
00:56:16   HOW ABOUT A GIANT SWITCH STATEMENT AND THAT'S
00:56:18   EXACTLY HOW IT WORKS.
00:56:20   IN FACT, 1500 LINE SWITCH STATEMENT IS SO
00:56:28   LARGE -- SORRY -- 1500 SWITCH STATEMENT IS SO
00:56:34   LARGE IT BREAKS SOME C COMPILERS AND THERE IS A
00:56:37   MACRO YOU CAN TURN ON IF IT BREAKS IT, SO YOU CAN
00:56:41   TURN IT INTO TWO SWITCH STATEMENTS THAT ARE ONLY
00:56:42   750 LINES EACH.
00:56:43   [ Laughter ]
00:56:45   SO THE INTERPRETER IS BASICALLY TAKING EACH
00:56:47   INSTRUCTION AND THEN WHYSING A SWITCH STATEMENT
00:56:48   TO LOOK UP THE CORRECT THINGS TO DO AND THEN
00:56:50   DOING THOSE THINGS AND MOVING TO THE NEXT
00:56:52   INSTRUCTION.
00:56:52   IN PYTHON 3 AND UP, THIS IS NO LONGER LITERALLY A
00:56:56   SWITCH, IT IS COMPUTED GO-TOES INSTEAD BUT THE
00:56:59   IDEA REMAINS QUITE SIMILAR.
00:57:00   OKAY, SO THESE ARE IN THE INSTRUCTIONS THAT WE
00:57:04   NEED TO KNOW HOW TO IMPLEMENT FOR OUR PYTHON
00:57:07   INTERPRETER AND LET'S LOOK AT THAT
00:57:08   IMPLEMENTATION.
00:57:10   HERE'S LOAD FAST, THE FIRST INSTRUCTION TO FIND.
00:57:12   THE MOST COMMON INSTRUCTION IN MOOSE PYTHON CODE
00:57:15   BASES AND THE C IS PRETTY READABLE HERE.
00:57:18   YOU CAN SEE WE RUN THE MACRO GET LOCAL AND STORE
00:57:20   THE VALUE, AND IF ANYTHING GOES WRONG, THEN WE
00:57:24   THROW AN UNBOUND LOCAL ERROR -- HANDS-UP IF
00:57:28   YOU'VE THROWN AN UNBOUND LOCAL ERROR BEFORE.
00:57:30   SO THIS HAPPENS WHEN YOU TRY TO LOAD A LOCAL
00:57:32   VARIABLE AND SOMETHING HAPPENS.
00:57:33   BUT IN THE MEANTIME, IF SOMETHING HAS NOT FAILED,
00:57:36   THEN WE PUSH THE RESULT ON TO THE STACK AND MOVE
00:57:38   ON TO THE NEXT CODE.
00:57:40   SO HERE IS THE CODE THAT RAISES THAT ERROR, THE
00:57:42   ONLY PLACE IN THE CPYTHON CODES BASE WHERE THAT'S
00:57:46   RAISED, I THINK, THAT'S PRETTY COOL WE CAN FIND
00:57:48   THAT RIGHT THERE.
00:57:49   AND HERE'S BINARY MODULAR, SO WE POP TWO THINGS
00:57:53   OFF THE STACK, IN PRACTICE, IT'S NOT QUITE THAT
00:57:54   BUT CLOSE ENOUGH.
00:57:55   WE DO SOME STUFF, WE CALCULATE THE REMAINDER AND
00:57:58   THEN WE PUSH THE RESULT BACK ON TO THE STACK.
00:58:00   COOL.
00:58:00   SO I'VE DESCRIBED THE STRUCTURE OF CPYTHON AND BY
00:58:07   BY EXTENSION, THE EXTENSION OF BYTE RUN, BUT UP
00:58:09   UNTIL ONE YEAR AGO, WE HAD ONE THING REALLY WRONG
00:58:12   AND IN PARTICULAR WE ONLY HAD ONE DATA STACK FOR
00:58:14   THE ENTIRE INTERPRETER INSTEAD OF ONE DATA STACK
00:58:17   PER FRAME.
00:58:17   WHAT'S INTERESTING IS HOW MUCH IS POSSIBLE
00:58:20   DESPITE MAKING THAT ERROR.
00:58:22   IN THIS CASE, THE NESTING THE GENERATORS, PAUSES
00:58:25   AND RESUMPTION THE FRAME OF G SEVERAL TIMES, AND
00:58:28   IT HAS TO DO SOME WORK IN-BETWEEN PAUSING AND
00:58:31   RESUMING.
00:58:32   SO THAT WORK IS ALSO MANIPULATING THE STACK THAT
00:58:34   SHOULD BELONG TO THE SEPARATE FRAME BUT INSTEAD
00:58:36   WAS IN THE WRONG PLACE.
00:58:37   AND IT IS NONE APPEARED AND WE TRIED TO MULTIPLY
00:58:43   IT BECAUSE RESUMING THE GENERATOR PUSHES NONE ON
00:58:46   TO THE STACK AND THE GENERATOR FRAME KNOWS HOW TO
00:58:48   CONSUME THAT APPROPRIATELY.
00:58:49   UNDERSTANDING THE CORRECT STRUCTURE HERE THAT IN
00:58:51   FACT THERE IS ONE DATA STACK FOR EVERY FRAME,
00:58:53   GIVES US THE ABILITIES TO PAUSE AND RESUME
00:58:55   FRAMES, WHICH IS WHAT WE NEED FOR GENERATORS AND
00:58:57   BY CONTRAST, IF THE PYTHON INTERPRETER WERE
00:59:00   IMPLEMENTED WITH ONLY ONE DATA STACK, THE ONLY
00:59:02   FEATURE THAT YOU WOULD LOSE IS GENERATORS.
00:59:04   SO IN THE LAST COME OF MINUTE HERE BEFORE Q AND
00:59:10   A, I WANT TO TALK A LITTLE BIT ABOUT HOW PYTHON
00:59:12   IS DYNAMIC.
00:59:13   AND ONE THING YOU HEAR THIS A LOT, LIKE, OH,
00:59:15   PYTHON IS DYNAMIC LANGUAGE, HAS DYNAMIC TYPING
00:59:19   AND IF YOU LISTEN TO PETER'S KEYNOTE, I GUESS THE
00:59:22   CLOSING TALK TOMORROW, YOU'LL HEAR ABOUT THE
00:59:25   FUTURE OF TYPES AND PYTHON.
00:59:27   I THINK A LOT OF FOLKS, PARTICULARLY THOSE OF US
00:59:29   ON PYTHON 2, ARE NOT SUPER FAMILIAR WITH WHAT'S
00:59:31   GOING ON HERE.
00:59:32   BUT WITH THE CONTEXT THAT'S JUST -- WE'VE JUST
00:59:35   BUILT UP ABOUT THE INTERPRETER, WE CAN TAKE A
00:59:36   LOOK AT ONE OF THE PROBLEMS THAT THIS IS TRYING
00:59:38   TO SOLVE.
00:59:38   SO ONE THING IN THE DYNAMIC MEANS IS THAT A LOT
00:59:43   IS HAPPENING AT RUN TIME.
00:59:44   AND ANOTHER WAY OF PUTTING THIS IS THAT NOT A LOT
00:59:46   IS HAPPENING AT COMPILE TIME.
00:59:48   AND THE INTERPRETER HAS A LOT OF WORK TO DO.
00:59:50   SO LET'S LOOK AT ACTUALLY CALLING UP THIS
00:59:52   FUNCTION MOD.
00:59:53   IT'S PRETTY OBVIOUS WHAT'S GOING ON HERE, WE CALL
00:59:55   MOD ON 15 AND 4 AND WE GET THE RESULT 3.
00:59:57   ANY GUESSES FOR WHAT WILL HAPPEN WHEN WE CALL THE
01:00:01   FUNCTION LIKE THIS?
01:00:05   [ PYTHON.
01:00:08   >> RIGHT, GET PYCON RETURNED, SO THIS MIGHT LOOK
01:00:11   WEIRD TO YOU BUT YOU'VE ALMOST CERTAINLY SEEN IT
01:00:15   BEFORE, YOU'VE SEEN IT AS STRING FORM MATING.
01:00:17   DOING THAT WITH A MOD LIKE THIS IS INVOKING
01:00:20   BINARY MOD ON THE ARGUMENTS.
01:00:22   SO THIS IS THE BYTECODE FOR THIS FUNCTION AND
01:00:25   THIS IS ALWAYS THE BYTECODE FOR THIS FUNCTION.
01:00:27   THE ADVANTAGE IS THAT WE'VE BUILT THIS ONE AND
01:00:29   REUSE IT AGAIN AND AGAIN, SO NO MATTER WHAT
01:00:31   ARGUMENTS ARE PASSED TO IT, WE'RE GOING TO CALL
01:00:34   BINARY MODULO ON WHATEVER THE TOP TWO ITEMS ON
01:00:36   THE STACK ARE AND THEY MAY BE TWO INTEGERS OR
01:00:39   THEY MAY BE A 2PULL AND A STRING OR TWO STRINGS,
01:00:44   THE COMPILER DOESN'T KNOW AND DOESN'T CARE.
01:00:47   IT'S UP TO THE INTERPRETER TO DO THE RIGHT THING.
01:00:49   SO I WENT BY THIS KIND OF FAST, ON PURPOSE,
01:00:53   EARLIER.
01:00:54   BUT ONE THING THAT YOU NOTICE HERE IS THAT THERE
01:00:56   IS A F STATEMENT, SAYING IF V IS A STRING, THEN
01:01:00   DISPATCH TO STRING FORMATTING.
01:01:02   THIS KIND OF LOOKS LIKE IT'S TYPE-CHECKING, IT'S
01:01:05   WORSE THAN THAT.
01:01:06   THE TYPE-CHECKING HERE IS OPTIMIZATION.
01:01:10   BECAUSE OF COURSE WE COULD PASS ANYTHING TO OUR
01:01:13   MODULAR FUNCTIONING, DOESN'T HAVE TO BE EITHER A
01:01:16   STRING OR A NUMBER, AND SO THIS PY NUMBER
01:01:18   REMAINDER IS RESPONSIBLE FOR EVENTUALLY DOING
01:01:22   DISPATCH ON WHATEVER THE OBJECT IS.
01:01:24   SO THIS GETS EVEN WORSE THAN THIS, BECAUSE THIS
01:01:26   IS PYTHON, RIGHT?
01:01:27   SO WE CAN DEFINE OUR OWN TYPES AND WE CAN DEFINE
01:01:30   WHAT DIFFERENT OPERATIONS MEAN ON THOSE TYPES.
01:01:32   SO WE COULD WRITE AN OBJECT THAT HAS A SIDE
01:01:34   EFFECTING MOD FUNCTIONING.
01:01:37   SO HERE I'VE WRITTEN MOD THAT SAYS PRINT
01:01:39   SOMETHING, WHEN YOU PUT ONE MOD AGAINST ANOTHER.
01:01:42   I DON'T KNOW WHY YOU WOULD WANT TO DO THIS BUT
01:01:44   YOU COULD AND IT IS STRICTLY UP TO THE
01:01:46   INTERPRETER TO RESOLVE WHAT YOU MEAN BY BINARY
01:01:49   MOD ON THE OBJECT.
01:01:52   IT'S REALLY DEEP.
01:01:53   THERE IS THIS GREAT PAPER BY RUSSELL POWER AND
01:01:55   ALEX RUBINSTEIN CALLED "HOW FAST CAN WE MAKE
01:01:58   INTERPRETED PYTHON" AND THE CONCLUSION FROM THE
01:02:00   STRATEGIES THAT THEY TRIED WAS THAT IT'S VERY
01:02:02   CHALLENGING.
01:02:03   AND THE QUOTE HERE IS IN THE GENERAL ABSENCE OF
01:02:05   TYPE INFORMATION, ALMOST EVERY INSTRUCTION MUST
01:02:08   BE TREATED AS INVOKE ARBITRARY METHOD.
01:02:11   SO GIVEN THAT THE COMPILEER KNOWS SO LITTLE
01:02:13   WITHOUT RUNNING THE CODE, WE CAN'T REALLY
01:02:15   OPTIMIZE IT, WE DON'T KNOW WHAT INSTRUCTIONS WE
01:02:18   CAN TAKE OUT, WE CAN'T REASON ABOUT ITS
01:02:20   CORRECTNESS, ALL THOSE ARE VERY HARD TO DO
01:02:22   BECAUSE THE LANGUAGE IS SO DYNAMIC.
01:02:24   BUT NOTICE THE COPY OUT HERE, IN THE GENERAL
01:02:26   ABSENCE OF TYPE INFORMATION.
01:02:28   SO ONE WAY TO SOLVE THIS PROBLEM IS TO SAY, FINE,
01:02:31   LET'S ADD TYPE INFORMATION.
01:02:34   AND THERE'S A LOT OF NUANCE TO HOW YOU DO THAT
01:02:37   AND HOW TO MAKE THAT NOT BREAK FOR PEOPLE WHO ARE
01:02:39   NOT INTERESTED IN THOSE SORTS OF THINGS BUT IN
01:02:41   THE NEXT VERSION OF PYTHON, THIS IS BASICALLY
01:02:43   WHAT'S HAPPENING.
01:02:43   YOU CAN ADD OPTIONAL TYPE INFORMATION TO YOUR
01:02:45   PYTHON, AND THE STATIC ANALYSIS TOOLS WILL BE
01:02:49   MORE ROBUST BECAUSE OF IT.
01:02:50   AND IT OPENS UP A LOT OF INTERESTING
01:02:53   POSSIBILITIES THAT JUST AREN'T THERE WHEN
01:02:54   EVERYTHING IS SO DYNAMIC.
01:02:56   OKAY.
01:02:59   SO I'VE GOT -- I'LL PUT UP THE LINKS A LITTLE BIT
01:03:01   LATER, A COUPLE OF GREAT BLOGS, THERE ARE A
01:03:05   COUPLE OF GREAT ARTICLES ABOUT THE INTERPRETER
01:03:07   AND INTERNALS AND THE GO-TO STATEMENTS AND SO ON.
01:03:11   IN THE MEANTIME, I'LL GO AHEAD AND TAKE SOME
01:03:13   QUESTIONS.
01:03:14   [ Applause ]
01:03:26   >> THANK YOU, ALLISON.
01:03:27   IF ANYONE HAS ANY QUESTIONS, PLEASE COME TO THE
01:03:29   CENTER OF THE ROOM AND STAND BY THE MIC SO THE
01:03:31   VIDEO CAN PICK YOU UP.
01:03:33   >> AUDIENCE:  GREAT TALK, THANKS.
01:03:34   IS THERE ANY POSSIBILITY OF DOING, LIKE, DYNAMIC
01:03:37   OPTIMIZATIONS LIKE --
01:03:39   >> DOING WHAT SORT OF OPTIMIZATIONS?
01:03:42   >> AUDIENCE:  I'M NOT VERY AWARE OF THE INTERNALS
01:03:45   OF THE PYTHON INTERPRETER BUT CAN YOU DO LIKE --
01:03:51   LIKE THE EXAMPLE IN THE JAVA VM, IT WILL START
01:03:57   REWRITING THINGS AS IT'S RUNNING?
01:04:00   DOES PYTHON DO THAT?
01:04:01   >> YES, PYTHON DOES A COUPLE OF OPTIMIZATIONS
01:04:03   WHERE IT CAN, SO ONE IS CONSTANT FOLDING.
01:04:06   IF YOU HAVE A FUNCTION THAT SAYS RETURN THREE
01:04:07   PLUS TWO, THE PYTHON COMPILER WILL RETURN THAT
01:04:10   INTO RETURN 5.
01:04:11   BECAUSE PYTHON IS SO DYNAMIC, THERE'S VERY FEW
01:04:14   CASES WHERE UNDER THE CURRENT STRUCTURE YOU CAN'T
01:04:16   OPTIMIZE AND THE SOURCE IN THIS IS FAIRLY
01:04:20   READABLE, HAD A BLOG POST ABOUT CONSTANT FOLDING
01:04:23   AND THE WAY IT MESSES UP THE BYTECODE LEVEL
01:04:26   COVERAGE BECAUSE THE BYTECODE ENDS UP CHANGING
01:04:28   OUT FROM UNDER YOU, BUT IT HAPPENS A LITTLE BIT
01:04:31   BUT IT'S PRETTY LIMITED BECAUSE OF THE STRUCTURE.
01:04:35   >> AUDIENCE:  THANK YOU.
01:04:40   >> AUDIENCE:  HI.
01:04:41   I'M RESEARCHING ON INTERPRETERS AND JVMS AND
01:04:45   SMALL -- SO I'M NOT THAT VERY FAMILIAR WITH
01:04:49   CPYTHONS AND THE INTERPRETER BUT I WANTED TO
01:04:51   KNOW, IS IT REAL SIMPLE SWITCH CASE OR IS THERE
01:04:55   SMALL OPTIMIZATIONS LIKE TO DISPATCH OR DYNAMIC
01:04:59   THREADED DISPATCHES, SO THERE ARE MORE DIFFERENT
01:05:01   WAYS, SO IS IT JUST A SIMPLE SWITCH CASE OR IS IT
01:05:04   SOMETHING ELSE?
01:05:04   AND IS THERE A POSSIBILITY TO JIT THIS SCORE TO
01:05:09   OPTIMIZE IT LIKE PYPY DOES?
01:05:11   >> YEAH, SO TO THE FIRST QUESTION, IS THIS
01:05:14   LITERAL SWITCH STATEMENT, ARE THERE
01:05:16   OPTIMIZATIONS?
01:05:17   YES TO BOTH, SO THE CODE IS LIKE LITERALLY, YOU
01:05:20   KNOW, CASE LOAD FAST, CASE, SO ON.
01:05:23   IN PYTHON 2.
01:05:24   AND THERE ARE A COUPLE OF OPTIMIZATIONS WHERE IN
01:05:28   PARTICULAR THERE ARE PAIRS OF BYTES THAT OFTEN
01:05:30   FOLLOW EACH OTHER SO IF YOU HAVE LIKE A GET
01:05:34   ITTERS, THERE'S PROBABLY A 4 AFTER IT.
01:05:36   AND THE INTERPRETER IS SMART ENOUGH TO SAY OKAY,
01:05:38   CHECK FIRST AT THIS PARTICULAR BYTE AFTER IT.
01:05:44   THAT'S ONE OPTIMIZATION.
01:05:46   THERE ARE A NUMBER OF OTHERS, SOME WORK HAS TO BE
01:05:48   DONE IN-BETWEEN EACH INSTRUCTION, SOME WORK IS
01:05:50   DONE EVERY HUNDRED INSTRUCTIONS, THOSE SORTS OF
01:05:52   THINGS.
01:05:52   IN TERMS OF WHETHER THIS STRUCTURE CAN BE JITED,
01:05:56   I DON'T KNOW A WHOLE LOT ABOUT THE WAY THAT PYPY
01:05:58   IS IMPLEMENTED.
01:05:59   I THINK THAT PYPY IS SORT OF AN EXISTENCE PROOF
01:06:01   THAT THIS CANNOT.
01:06:03   LIKE YOU WOULDN'T HAVE TO GO THAT DIRECTION AND
01:06:05   SOLVE THAT PROBLEM WITH A COMPLETELY NEW
01:06:07   INTERPRETER AND A NEW SET OF BYTECODE IF THIS
01:06:09   WERE AMENABLE TO INCREMENTAL CHANGE.
01:06:13   >> AUDIENCE:  OKAY, THANK YOU.
01:06:17   >> AUDIENCE:  I'M SORRY, THIS MAY BE A STUPID
01:06:19   QUESTION BUT DO THE TYPE ANNOTATIONS HAVE
01:06:24   ANYTHING TO DO WITH JIT COMPILING?
01:06:28   >> NO, I THINK IS THE SHORT ANSWER.
01:06:30   THE TYPE ANNOTATIONS ARE DESIGNED TO HELP STATIC
01:06:33   ANALYSIS, SO WITHOUT RUNNING THE CODE WHAT, CAN
01:06:35   WE SAY ABOUT IT NOW?
01:06:35   DOING JIT COMPILATION I THINK IS MORE OR LESS A
01:06:46   SEPARATE PROBLEM.
01:06:48   >> AUDIENCE:  YOU ALLUDED TO THE BLOCK STACK A
01:06:50   COUPLE OF TIMES, CAN YOU EXPLAIN WHAT THAT IS?
01:06:52   >> IN SHORT, THE BLOCK STACK IS KEEPING TRACK OF
01:06:55   A DIFFERENT -- STATE IN A DIFFERENT WAY, SO THE
01:06:58   CLASSIC EXAMPLE IS FOR AN ITERATOR, IF YOU'RE ON
01:07:00   THE TOP INSTRUCTION OF AN ITERATOR, YOU'RE EITHER
01:07:03   GOING TO STEP TO THE NEXT INSTRUCTION, IF YOU'RE
01:07:05   IN THE BODY OF THE FORELOOP OR IF YOU'RE DONE,
01:07:07   YOU'RE GOING TO JUMP OUT OF THE FORELOOP.
01:07:09   SO THE BLOCK STACK IS RESPONSIBLE FOR KEENING
01:07:11   TRACK OF THAT.
01:07:11   IT'S USED FOR LOOPING AND EXCEPTION HANDLING AND
01:07:14   I THINK THAT'S PRETTY MUCH IT.
01:07:15   IT'S JUST LIKE ANOTHER WAY OF MANAGING STATE.
01:07:20   >> AUDIENCE:  OKAY.
01:07:24   >> AUDIENCE:  HI.
01:07:25   I NOTICED IN YOUR EXAMPLE OF MODULAR, YOU
01:07:30   ASSIGNED, LIKE, A MODULAR B TO ANSWER AND THEN
01:07:33   RETURN ANSWER.
01:07:34   IF YOU JUST DID LIKE RETURN A MODULAR B, IS
01:07:36   THERE -- DOES PYTHON, LIKE, CREATE A VARIABLE FOR
01:07:41   THAT STACK?
01:07:43   >> IT WOULD NOT CREATE A VARIABLE, YEAH, SO
01:07:46   YOU'RE TALKING ABOUT...
01:07:49   YEAH, SO WHAT WE WOULD SEE IN THAT CASE, IS YOU
01:07:51   WOULD HAVE BINARY MODULAR AND THEN IMMEDIATELY
